frame_idx,timestamp,day_float,count,diam_mean_mm,diam_std_mm,vel_mean_mm_s,count_smooth
126,2025-05-12 21:00:00,5.25,210,1.9672357065339101,0.8414257653398576,0.0005312230472072667,124.0
127,2025-05-12 22:00:00,5.291666666666667,60,1.7203263796776398,0.8130432804684209,0.0010589020034511287,133.4
128,2025-05-12 23:00:00,5.333333333333333,94,1.938317627530011,0.8037658394464073,0.0013696913676236515,124.0
129,2025-05-13 00:00:00,5.375,135,1.9212990875839064,0.813109514554905,0.0003399448387157383,107.8
130,2025-05-13 01:00:00,5.416666666666667,121,1.8007819000989587,0.7406933528885102,0.000365438994066443,110.6
131,2025-05-13 02:00:00,5.458333333333333,129,1.9994447544721106,0.8068342744892751,0.0004681744943747233,110.6
132,2025-05-13 03:00:00,5.5,74,1.9277084874576738,0.8381267017589177,0.0008213439848595133,104.6
133,2025-05-13 04:00:00,5.541666666666667,94,1.931903604937258,0.8210429956326043,0.0003506931569129291,120.2
134,2025-05-13 05:00:00,5.583333333333333,105,2.041882712327666,0.8103989713704088,0.00045641505409142166,155.4
135,2025-05-13 06:00:00,5.625,199,1.929337995900157,0.8025060579730801,0.0003985721943191968,237.4
136,2025-05-13 07:00:00,5.666666666666667,305,2.0218513342281565,0.7919087243290247,0.0003307625365798841,261.4
137,2025-05-13 08:00:00,5.708333333333333,484,2.0050764709458244,0.7774832808717269,0.0002491413057771127,279.6
138,2025-05-13 09:00:00,5.75,214,2.0397790727682734,0.7905687136219942,0.0009383499144312865,289.0
139,2025-05-13 10:00:00,5.791666666666667,196,2.0191604918827535,0.8090483300045355,0.0005650141421922878,256.6
140,2025-05-13 11:00:00,5.833333333333333,246,2.0219815124715823,0.8112269054399321,0.0005955545339944677,169.4
141,2025-05-13 12:00:00,5.875,143,2.0111324826144554,0.7619176791461749,0.0006321266219587229,144.6
142,2025-05-13 13:00:00,5.916666666666667,48,1.876582660074762,0.7752076095151188,0.0008904057229267518,112.4
143,2025-05-13 14:00:00,5.958333333333333,90,1.8851240001607783,0.7858932321876174,0.0003806425336523217,78.8
144,2025-05-13 15:00:00,6.0,35,2.33243182718644,0.775034965170085,0.0008510441102024248,72.0
145,2025-05-13 16:00:00,6.041666666666667,78,2.0251865181323763,0.8755994831147474,0.0008605791773957243,90.8
146,2025-05-13 17:00:00,6.083333333333333,109,2.0333275438443166,0.7473486174935513,0.0006275919348707821,85.4
147,2025-05-13 18:00:00,6.125,142,2.0032166955671085,0.7865451174767267,0.0008834111096148302,92.6
148,2025-05-13 19:00:00,6.166666666666667,63,1.9484782537959917,0.8153525209616532,0.001854368316349134,88.2
149,2025-05-13 20:00:00,6.208333333333333,71,1.8851806121911745,0.8040084325229357,0.0007652730777289971,72.0
150,2025-05-13 21:00:00,6.25,56,1.9637904601126597,0.7807113878227531,0.0007939642073925223,52.6
151,2025-05-13 22:00:00,6.291666666666667,28,2.067147852750168,0.8189257255864473,0.0017510809931750382,51.6
152,2025-05-13 23:00:00,6.333333333333333,45,1.9373769042164073,0.798405660544886,0.0007728359590082669,70.6
153,2025-05-14 00:00:00,6.375,58,1.9106267437847462,0.8552389460275643,0.0026298998810220377,72.6
154,2025-05-14 01:00:00,6.416666666666667,166,1.970016809066727,0.7717209216974618,0.0006548729979120693,81.0
155,2025-05-14 02:00:00,6.458333333333333,66,1.996937906741355,0.8023717201625984,0.0027566120810314084,78.8
156,2025-05-14 03:00:00,6.5,70,1.9689583297445352,0.771498685940925,0.000762303410816152,80.0
157,2025-05-14 04:00:00,6.541666666666667,34,1.9931763854703828,0.7183022810581761,0.003061784039334134,54.8
158,2025-05-14 05:00:00,6.583333333333333,64,1.8803508983480044,0.8396916787759201,0.0004940248549233121,93.0
159,2025-05-14 06:00:00,6.625,40,1.9534547208489088,0.8939468463933746,0.001594285209877975,159.6
160,2025-05-14 07:00:00,6.666666666666667,257,2.0048787102337964,0.834280527084419,0.0004797019520031639,190.2
161,2025-05-14 08:00:00,6.708333333333333,403,1.9855904064505958,0.8037828075227662,0.00022966854992464316,195.8
162,2025-05-14 09:00:00,6.75,187,2.047342291772393,0.7852388567174791,0.0005686712635342204,215.4
163,2025-05-14 10:00:00,6.791666666666667,92,2.0289505554710887,0.785829283667981,0.0015650849772515004,191.0
164,2025-05-14 11:00:00,6.833333333333333,138,2.1670100678588717,0.8398232320021917,0.00042488918576498013,126.6
165,2025-05-14 12:00:00,6.875,135,2.1044075547873935,0.8370659753942307,0.0003822478750129768,103.0
166,2025-05-14 13:00:00,6.916666666666667,81,2.1332880772568865,0.8407060900592445,0.0012082718873577087,109.0
167,2025-05-14 14:00:00,6.958333333333333,69,2.0936113397539744,0.8326412297667828,0.0007207119255523572,124.2
168,2025-05-14 15:00:00,7.0,122,1.9708503913037465,0.82866261668159,0.0006138123272215209,115.4
169,2025-05-14 16:00:00,7.041666666666667,214,2.0842935884447082,0.7892408646345089,0.0006496915474059001,105.4
170,2025-05-14 17:00:00,7.083333333333333,91,1.904161195129482,0.7079900917342702,0.0007187056652896444,98.0
171,2025-05-14 18:00:00,7.125,31,1.8282033428892615,0.832670423809254,0.001137829567905734,99.4
172,2025-05-14 19:00:00,7.166666666666667,32,1.921801519353672,0.8536868750648574,0.0022799662524705944,62.6
173,2025-05-14 20:00:00,7.208333333333333,129,2.008792322281704,0.8059674398555786,0.0003780831916718494,50.8
174,2025-05-14 21:00:00,7.25,30,1.9092407251095302,0.84528079282982,0.002761132538742828,52.2
175,2025-05-14 22:00:00,7.291666666666667,32,2.0800675268298567,0.7222445767943411,0.003074660871693481,67.6
176,2025-05-14 23:00:00,7.333333333333333,38,1.9832833017065754,0.8223625319261184,0.0007059404828032532,48.8
177,2025-05-15 00:00:00,7.375,109,2.1008101228293565,0.8200033938883681,0.0004096607010775324,54.8
178,2025-05-15 01:00:00,7.416666666666667,35,1.8259806032626487,0.7539502833949148,0.0032046994872818534,69.4
179,2025-05-15 02:00:00,7.458333333333333,60,2.0057076249045385,0.7234905832259675,0.00035659253888305795,81.2
180,2025-05-15 03:00:00,7.5,105,2.099303486015171,0.8280513576698384,0.0005654629280011682,73.6
181,2025-05-15 04:00:00,7.541666666666667,97,1.8497776661723158,0.7586740923920262,0.0005382491667452098,89.8
182,2025-05-15 05:00:00,7.583333333333333,71,1.9768921014329073,0.7878600899310158,0.0007125375202584577,96.4
183,2025-05-15 06:00:00,7.625,116,1.8929550056757471,0.8023991041100793,0.00034575743256819305,103.6
184,2025-05-15 07:00:00,7.666666666666667,93,2.2081065907378816,0.8559452956657405,0.0011282933759436402,97.2
185,2025-05-15 08:00:00,7.708333333333333,141,2.0259759362976384,0.8344669412951389,0.0004601938334290067,92.6
186,2025-05-15 09:00:00,7.75,65,2.055487018709013,0.8955046583813665,0.0008121767271099196,82.2
187,2025-05-15 10:00:00,7.791666666666667,48,2.067506732585715,0.7425076358659826,0.0007223722266232137,83.0
188,2025-05-15 11:00:00,7.833333333333333,64,1.9180332810804295,0.8026170607461774,0.0009494907398140713,72.0
189,2025-05-15 12:00:00,7.875,97,1.8870715707322412,0.8128816562240696,0.0006480433278679373,76.2
190,2025-05-15 13:00:00,7.916666666666667,86,1.9040995628142534,0.7662024061811773,0.0006828128074946857,99.8
191,2025-05-15 14:00:00,7.958333333333333,86,2.0204767820436964,0.8452735568699966,0.0005239477063621119,130.4
192,2025-05-15 15:00:00,8.0,166,1.971469623822675,0.7951238037683581,0.000374932770219051,128.4
193,2025-05-15 16:00:00,8.041666666666666,217,1.9721257337124587,0.7907484084226556,0.00031256131951504674,118.0
194,2025-05-15 17:00:00,8.083333333333334,87,2.0014109670113696,0.7904998066266496,0.0018290357140367966,107.4
195,2025-05-15 18:00:00,8.125,34,1.642065242834141,0.6649903178064188,0.0013448265491314891,82.4
196,2025-05-15 19:00:00,8.166666666666666,33,1.8379867650336725,0.6930374239625694,0.0006519657132089553,57.8
